actor_id,first_name,middle_name,last_name,last_update
76,ANGELINA,NULL,ASTAIRE,"2006-02-15 04:34:33"
77,CARY,NULL,MCCONAUGHEY,"2006-02-15 04:34:33"
78,GROUCHO,NULL,SINATRA,"2006-02-15 04:34:33"
79,MAE,NULL,HOFFMAN,"2006-02-15 04:34:33"
80,RALPH,NULL,CRUZ,"2006-02-15 04:34:33"
81,SCARLETT,NULL,DAMON,"2006-02-15 04:34:33"
82,WOODY,NULL,JOLIE,"2006-02-15 04:34:33"
83,BEN,NULL,WILLIS,"2006-02-15 04:34:33"
84,JAMES,NULL,PITT,"2006-02-15 04:34:33"
85,MINNIE,NULL,ZELLWEGER,"2006-02-15 04:34:33"
86,GREG,NULL,CHAPLIN,"2006-02-15 04:34:33"
87,SPENCER,NULL,PECK,"2006-02-15 04:34:33"
88,KENNETH,NULL,PESCI,"2006-02-15 04:34:33"
89,CHARLIZE,NULL,DENCH,"2006-02-15 04:34:33"
90,SEAN,NULL,GUINESS,"2006-02-15 04:34:33"
91,CHRISTOPHER,NULL,BERRY,"2006-02-15 04:34:33"
92,KIRSTEN,NULL,AKROYD,"2006-02-15 04:34:33"
93,ELLEN,NULL,PRESLEY,"2006-02-15 04:34:33"
94,KENNETH,NULL,TORN,"2006-02-15 04:34:33"
95,DARYL,NULL,WAHLBERG,"2006-02-15 04:34:33"
96,GENE,NULL,WILLIS,"2006-02-15 04:34:33"
97,MEG,NULL,HAWKE,"2006-02-15 04:34:33"
98,CHRIS,NULL,BRIDGES,"2006-02-15 04:34:33"
99,JIM,NULL,MOSTEL,"2006-02-15 04:34:33"
100,SPENCER,NULL,DEPP,"2006-02-15 04:34:33"
